Word,Level,Guideword,Part of Speech,Topic
a taste for,C2,,phrase,
a teacher,A1,,phrase,
a thing,B1,,phrase,
a thirst for,C2,,phrase,
a tight corner,C2,IDIOM,phrase,
a touch,C2,,phrase,describing things
a vain attempt,C2,,phrase,
a variety of,A2,,phrase,
a vicious circle,C2,,phrase,
a visit or pay a visit to,B2,,phrase,people: actions
a wave of hatred,C2,,phrase,
a wealth of,C2,,phrase,
a while,B1,,phrase,
a wide range,B1,,phrase,describing things
a wild accusation,C2,,phrase,
a working knowledge of,B2,,phrase,
a writer,A2,,phrase,
a.m.,A1,,adverb,
abandon,B2,LEAVE,verb,
ability,B1,,noun,
able,C2,SMART,adjective,people: personality
able to do,A2,,phrase,
abnormal,C1,,adjective,describing things
aboard,C1,,adverb,travel
abolish,B2,,verb,
abortion,C1,,noun,body and health
about,A1,SUBJECT,preposition,communication
about do,C1,,phrase,
about to do,B2,,phrase,
above,A1,HIGHER POSITION,adverb,describing things
above all,B1,,phrase,
abroad,B1,,adverb,travel
abrupt,C2,QUICK,adjective,people: personality
abruptly,C2,,adverb,
absence,B2,NOT PRESENT,noun,
absent,B1,,adjective,
absolute,B2,,adjective,communication
absolutely,B1,COMPLETELY,adverb,communication
absolutely not .,C2,,phrase,communication
absorb,B2,TAKE IN,verb,
absorb in,B2,,phrase,
abstract,B2,IDEAS,adjective,
absurd,B2,,adjective,describing things
abuse,B2,BAD TREATMENT,noun,
abusive,C2,,adjective,
academic,B2,,adjective,education
accelerate,C1,HAPPEN,verb,
accent,B1,PRONUNCIATION,noun,communication
accept,B1,AGREE TO TAKE,verb,"communication, people: actions"
accept responsibility,B2,,phrase,
acceptable,B1,GOOD ENOUGH,adjective,describing things
acceptance,C1,,noun,
access,B1,RIGHT/OPPORTUNITY,noun,technology
accessible,B2,,adjective,
accessory,C1,,noun,
accident,A2,BAD EVENT,noun,body and health
accident-,C2,,phrase,
accidental,B2,,adjective,
accidentally,B1,,adverb,
acclaim,C1,,adjective,
accommodation,B2,,noun,
accompany,B1,GO WITH,verb,
accomplish,C1,,verb,
accord to,B1,OPINION,preposition,communication
account,B1,BANK,noun,money
account for,C1,FORM PART OF,phrasal verb,
accountable,C2,,adjective,
accountant,B1,,noun,"money, work"
accumulate,C1,,verb,
accumulation,C2,,noun,
accuracy,B2,,noun,describing things
accurate,B2,,adjective,describing things
accurately,B2,,adverb,
accusation,C1,,noun,
accuse,B2,,verb,"communication, crime"
accustomed to,C1,,phrase,
ache,B1,,noun,body and health
achieve,B1,,verb,people: actions
achievement,B1,,noun,people: actions
acid,B2,,noun,natural world
acknowledge,C1,ACCEPT,verb,
acquaintance,C1,,noun,
acquire,B2,GET,verb,people: actions
acre,C2,,noun,describing things
across,A2,,adverb,describing things
across the board,C2,,phrase,
act,B1,PERFORM,verb,arts and media
act as,B2,,phrasal verb,work
action,B1,ACTIVITY,noun,people: actions
active,B1,BUSY,adjective,"people: personality, work"
actively,B2,,adverb,
activity,A2,EVENT,noun,"people: actions, shopping"
actor,A2,,noun,"arts and media, work"
actual,B2,REAL,adjective,
actually,A2,TRUTH,adverb,communication
ad,A1,,noun,arts and media
adapt,B2,CHANGE BEHAVIOR,verb,people: actions
adaptation,C1,,noun,
add,A2,PUT WITH,verb,people: actions
add insult to injury,C2,,phrase,
add to,B2,,phrasal verb,
add up or add up,B1,,phrasal verb,people: actions
addict,B2,,noun,body and health
addiction,B2,,noun,body and health
addictive,C1,,adjective,
addition,B2,NEW THING,noun,
additional,B2,,adjective,describing things
address,A1,BUILDING DETAILS,noun,buildings
adequate,B2,ENOUGH,adjective,describing things
adequately,B2,,adverb,describing things
adjacent,C2,,adjective,describing things
adjective,A2,,noun,
adjust,B2,CHANGE BEHAVIOR,verb,people: actions
adjustment,B2,,noun,people: actions
administration,C1,ORGANIZING,noun,
administrative,C1,,adjective,
administrator,C1,,noun,
admiration,B2,,noun,people: personality
admire,B1,LOOK AT,verb,
admission,B1,MONEY,noun,money
admit,B1,,verb,communication
admittedly,B2,,adverb,communication
adolescent,C2,,noun,people: appearance
adopt,B2,TAKE CHILD,verb,relationships
adoption,B2,,noun,relationships
adult,A1,,noun,people: appearance
advance,B2,PROGRESS,noun,
advanced,A2,HIGHER LEVEL,adjective,describing things
advantage,B1,USEFUL THING,noun,
adventure,A2,,noun,travel
adventurous,B2,,adjective,people: personality
adverb,A2,,noun,
adverse effect,C2,,phrase,describing things
advertise,B1,TRY TO SELL,verb,arts and media
advertisement,A2,,noun,arts and media
advertising,B2,,noun,"arts and media, work"
advice,A2,,noun,communication
advise,B1,,verb,communication
adviser,C1,,noun,work
advocate,C2,,noun,
affair,B2,RELATIONSHIP,noun,relationships
affect,B2,CAUSE EMOTION,verb,
affection,B2,,noun,people: personality
affectionate,C2,,adjective,people: personality
affluent,C1,,adjective,money
affordable,C1,,adjective,
afraid,A2,FEAR,adjective,people: personality
after,A1,TIME/EVENT,preposition,
after all,B1,,phrase,communication
after dark,B1,,phrase,natural world
afternoon,A1,,noun,
afterward,A2,,adverb,
again,A1,ONE MORE TIME,adverb,
again and again,B1,,phrase,
against,A2,COMPETING,preposition,
against 's advice,C2,,phrase,
against all odd,C2,,phrase,
against the law,B2,,phrase,crime
age,A1,HOW OLD,noun,
aged,A2,,adjective,people: appearance
agency,B1,BUSINESS,noun,work
agenda,C1,MEETING,noun,
agent,B2,BUSINESS,noun,"shopping, work"
aggression,C1,,noun,
aggressive,B2,VIOLENT,adjective,people: personality
aggressively,B2,,adverb,people: personality
ago,A2,,adverb,
agree,A2,SAME OPINION,verb,communication
agree with,B2,,phrasal verb,
agreement,B2,DECISION,noun,communication
agriculture,B2,,noun,
ahead,B1,IN FRONT,adverb,
ahead of time,C1,,phrase,
aid,C1,HELP,noun,
aim,B1,,noun,
aim at,B2,,phrase,
aim at do,C2,,phrase,
aim to do,B1,,phrase,
air,A2,AIRCRAFT,noun,travel
air conditioning,B1,,noun,buildings
air force,B1,,noun,
aircraft,B2,,noun,travel
airline,B1,,noun,"travel, work"
airplane,A2,,noun,travel
airport,A2,,noun,travel
alarm,B1,WARNING,noun,communication
alarm clock,A2,,noun,
alarming,C1,,adjective,
albeit,C2,,conjunction,
album,A2,BOOK,noun,
alcohol,A2,,noun,food and drink
alcoholic,B1,,adjective,food and drink
alert,C1,,adjective,people: personality
alike,B1,,adjective,
alive,B1,LIVING,adjective,body and health
alive and well,C2,IDIOM,phrase,
all,A1,WHOLE TIME,determiner,
all along,B2,,phrase,
all at once,C1,,phrase,
all be well,B1,,phrase,
all but,C2,,phrase,
all day long,B1,,phrase,
all hour,C1,,phrase,
all in all,B2,,phrase,communication
all kind of,A2,,phrase,
all my love,A2,,phrase,communication
all of a sudden,B2,,phrase,
all over,A2,,phrase,
all over again,B2,,phrase,
all over somewhere,B1,,phrase,
all over the place,B2,,phrase,
all right,A1,WITHOUT PROBLEMS,adjective,
all set,C1,,phrase,
all shape and size,C2,,phrase,describing things
all sort of,A2,,phrase,
all the good,A2,,phrase,communication
all the time,A2,,phrase,
all the way,B2,,phrase,
all the well,C2,,phrase,
all thing consider,C1,,phrase,communication
all very well,C1,,phrase,
allegation,C1,,noun,communication
allege,C1,,adjective,
allegedly,C2,,adverb,
alliance,C2,,noun,
allocate,C1,,verb,
allocation,C2,PROCESS,noun,
allow,B1,GIVE PERMISSION,verb,
allowance,C1,MONEY,noun,money
ally,C1,PERSON,noun,
almost,A2,,adverb,
alone,A2,WITHOUT PEOPLE,adjective,
along,A2,DIRECTION,preposition,
along the line of,C2,,phrase,
along with,B2,,phrase,
alongside,C1,NEXT TO,adverb,describing things
aloud,B1,,adverb,
alphabet,B1,,noun,communication
alphabetical,B2,,adjective,communication
already,A2,BEFORE NOW,adverb,
also,A1,,adverb,
alter,B2,,verb,
alteration,C1,,noun,
alternate,C1,,verb,
alternate day,C1,,phrase,
alternative,B2,DIFFERENT PLAN,adjective,
alternatively,B2,,adverb,communication
although,B1,BUT,conjunction,communication
altogether,B1,TOTAL,adverb,
aluminum,B2,,noun,natural world
always,A1,EVERY TIME,adverb,
amateur,C1,,adjective,
amaze,B1,,adjective,people: personality
amazement,B2,,noun,people: personality
amazing,A2,GOOD,adjective,describing things
amazingly,B1,,adverb,people: personality
ambassador,B2,,noun,"politics, work"
ambiguity,C2,,noun,
ambiguous,C2,,adjective,
ambition,B1,HOPE,noun,
ambitious,B2,PERSON,adjective,people: personality
ambulance,B1,,noun,"body and health, travel"
amend,C2,,verb,
amendment,C1,,noun,
amid,C1,WHILE,preposition,
among,B2,IN THE MIDDLE,preposition,describing things
among other thing,B2,,phrase,communication
among the good,B2,,phrase,
amount,B1,,noun,describing things
ample,C1,,adjective,
amuse,B2,MAKE LAUGH,verb,communication
amused,B2,FUNNY,adjective,people: personality
amusement,B2,FEELING,noun,people: personality
amusing,B1,,adjective,describing things
an,A1,,determiner,
an appetite for something,C2,,phrase,
an army,B2,,phrase,buildings
an aspire writer,C2,,phrase,
an authority on,C2,,phrase,
an awful lot,B2,,phrase,describing things
an element of,C2,,phrase,
an eye on,B2,,phrase,people: actions
an inspiration to,C2,,phrase,
an interest,B2,,phrase,people: personality
an intimate knowledge,C2,,phrase,
an invasion of privacy,C2,,phrase,
an isolated case,C2,,phrase,
an ounce of sch .,C2,,phrase,
an uphill battle,C2,,phrase,
analogous,C2,,adjective,
analogy,C2,,noun,
analysis,B2,,noun,
analyst,B2,,noun,work
analytical,C1,,adjective,
analyze,B2,,verb,people: actions
ancestor,B2,,noun,relationships
anchor,C2,BOAT,noun,
ancient,B1,,adjective,describing things
and,A1,ALSO,conjunction,communication
and all,B1,,phrase,
and so on,A2,,phrase,communication
angel,B1,,noun,
anger,B2,,noun,people: personality
angle,C1,SPACE,noun,describing things
angrily,B1,,adverb,people: personality
angry,A2,,adjective,people: personality
animal,A1,NOT A HUMAN,noun,animals
animate,B1,FILM,adjective,arts and media
animation,B1,,noun,arts and media
ankle,B1,,noun,body and health
anniversary,B1,,noun,relationships
announce,B1,,verb,communication
announcement,B1,,noun,"arts and media, communication"
annoy,B1,,verb,people: personality
annoyance,C1,,noun,
annoyed,B1,,adjective,people: personality
annoying,B1,,adjective,people: personality
annual,B1,,adjective,
annually,B2,,adverb,
anonymous,C2,,adjective,
another,A2,DIFFERENT,determiner,
answer,A1,REACTION,noun,communication
ant,B1,,noun,animals
antibiotic,C2,,noun,body and health
anticipate,C1,,verb,
anticipation,C2,WAITING,noun,
antique,B1,,adjective,describing things
antisocial,C1,BEHAVIOR,adjective,
anxiety,B2,,noun,people: personality
anxious,B1,WORRIED,adjective,people: personality
anxiously,B2,,adverb,people: personality
any,A1,SOME,determiner,describing things
any day,B2,,phrase,
any minute any minute now,B2,,phrase,
any more,A2,,phrase,
anybody,A2,IN QUESTIONS/NEGATIVES,pronoun,
anyhow,B2,DESPITE,adverb,communication
anymore,A2,,adverb,
anyone,A2,IN QUESTIONS/NEGATIVES,pronoun,
anything,A1,NO MATTER WHICH,pronoun,
anything like,B2,,phrase,
anyway,A2,DESPITE,adverb,communication
anywhere,A2,IN QUESTIONS/NEGATIVES,adverb,
anywhere near,C1,,phrase,
apart,B1,SEPARATE,adverb,describing things
apart from,B1,,phrase,communication
apartment,A2,,noun,buildings
apartment building,A2,,noun,buildings
apologetic,C2,,adjective,people: personality
apologize,B1,,verb,communication
apology,B1,,noun,communication
apostrophe,B2,,noun,communication
appalling,C2,,adjective,describing things
apparent,B2,OBVIOUS,adjective,
apparently,B2,AS HEARD/READ,adverb,communication
appeal,B2,QUALITY,noun,people: personality
appear,B1,BE SEEN,verb,
appear in,B1,,phrase,arts and media
appearance,B1,WAY YOU LOOK,noun,people: appearance
appetite,C1,FOOD,noun,food and drink
applaud,C1,CLAP,verb,
applause,C1,,noun,
apple,A1,,noun,food and drink
appliance,C1,,noun,
application,B1,REQUEST,noun,"communication, work"
apply,B1,REQUEST,verb,"communication, work"
apply yourself,C2,,phrase,
appoint,C1,,verb,work
appointment,A2,,noun,"body and health, communication, work"
appreciate,B2,VALUE,verb,people: personality
appreciation,B2,,noun,people: personality
approach,B2,DEAL WITH,verb,
appropriate,B2,,adjective,describing things
appropriately,B2,,adverb,
approval,B2,GOOD OPINION,noun,"communication, people: personality"
approve,B1,AGREE,verb,communication
approximate,B2,,adjective,describing things
approximately,B1,,adverb,describing things
april,A1,,noun,
arbitrary,C2,,adjective,
arch,C2,,noun,
archaeologist,C1,,noun,work
archaeology,C1,,noun,
architect,B1,,noun,work
architecture,B1,STYLE,noun,buildings
area,A2,REGION,noun,natural world
argue,B1,DISAGREE,verb,communication
argument,B1,DISAGREEMENT,noun,communication
arid,C2,,adjective,natural world
arise,C1,,verb,
arm,A1,BODY,noun,body and health
arm in arm,C2,,phrase,
arm with,C2,,phrase,
armchair,A2,,noun,buildings
armed,B2,WEAPONS,adjective,
army,C2,ORGANIZED GROUP,noun,
around,A2,IN A CIRCLE/CIRCULAR MOVEMENT,preposition,describing things
around the clock,C1,IDIOM,phrase,
arouse,C2,,verb,
arrange,B1,PLAN,verb,people: actions
arrangement,B1,PLANS,noun,people: actions
arrest,B1,,verb,crime
arrival,B1,,noun,"people: actions, travel"
arrive,A2,REACH A PLACE,verb,"people: actions, travel"
arrive at an solution,C2,,phrase,
arrogant,B2,,adjective,people: personality
arrow,B2,SYMBOL,noun,communication
art,A2,"PAINTINGS/DRAWINGS, ETC.",noun,arts and media
article,B1,NEWSPAPER,noun,arts and media
artificial,B2,NOT NATURAL,adjective,describing things
artificial intelligence,C2,,noun,
artificially,B2,,adverb,
artist,A2,,noun,"arts and media, work"
artistic,B2,RELATING TO ART,adjective,arts and media
artistically,C2,,phrase,people: personality
as,A1,JOB,preposition,work
as a consequence,C1,,phrase,
as a matter of fact,B2,,phrase,communication
as a result of,B2,,phrase,
as a whole,B2,,phrase,
as far as I know,B2,,phrase,communication
as far as be concern,B2,,phrase,
as follow,B2,,phrase,communication
as for,B2,,phrase,communication
as if,B1,,phrase,people: personality
as it happen,C1,,phrase,
as it stand,C2,,phrase,
as long as,B1,,phrase,communication
as many as,C1,,phrase,
as much,A2,,phrase,
as oppose to,C2,,phrase,
as soon as,B1,,phrase,
as soon as possible,A2,,phrase,
as the,C2,,phrase,
as though,B1,,phrase,
as usual,A2,,phrase,
as well,A1,,phrase,communication
as well as,A2,,phrase,communication
as yet,C1,,phrase,
as you know,B1,,phrase,
ashame of,B2,,phrase,people: personality
ashamed,B1,EMBARRASSED,adjective,people: personality
aside,B2,SAVE,adverb,
aside from,B2,,phrase,communication
ask,A1,QUESTION,verb,communication
ask yourself,C2,,phrase,
asleep,B1,SLEEPING,adjective,body and health
aspect,B2,,noun,
aspiration,C2,,noun,
aspire to,C2,,phrase,
aspirin,B1,,noun,body and health
assault,C2,,noun,
assemble,C2,BUILD,verb,
assembly,C2,GROUP,noun,
assert,C1,,verb,communication
assert your authority,C2,,phrase,
assert yourself,C2,,phrase,people: personality
assertive,C2,,adjective,people: personality
assess,B2,,verb,people: actions
assessment,B2,,noun,people: actions
asset,C1,USEFUL,noun,
assign,C1,,verb,
assign to,C2,,phrasal verb,
assignment,B1,,noun,
assist,B2,,verb,people: actions
assistance,B2,,noun,people: actions
assistant,B1,,noun,work
associate,C1,TWO THINGS/PEOPLE,verb,
associate with,B2,,phrase,
association,B2,,noun,
assume,B2,,verb,communication
assume control,C2,,phrase,
assumption,C1,,noun,
assurance,C1,PROMISE,noun,communication
assure,B2,,verb,communication
astonished,B2,,adjective,people: personality
astonishing,B2,,adjective,people: personality
astonishment,B2,,noun,people: personality
astronomy,C2,,noun,natural world
at,A1,PLACE,preposition,describing things
at 's disposal,B2,,phrase,
at 's expense,C2,,phrase,
at a disadvantage,C2,,phrase,
at a glance,C1,,phrase,
at a loss,C2,,phrase,
at a loss for word,C2,,phrase,
at a premium,C2,,phrase,
at all,B1,,phrase,
at all cost,B2,,phrase,
at any price,C2,IDIOM,phrase,
at any rate,C2,,phrase,communication
at arm 's length,C2,IDIOM,phrase,
at bay,C2,,phrase,
at ease,B2,,phrase,people: personality
at face value,C1,IDIOM,phrase,
at fault,B2,,phrase,
at first,B1,,phrase,
at first sight,C1,,phrase,
at hand,C1,,phrase,
at heart,C2,,phrase,
at his,B1,,phrase,
at issue,C2,,phrase,
at large,C2,,phrase,
at last,B1,,phrase,
at least,A2,,phrase,describing things
at length,C2,,phrase,
at liberty to do,C2,,phrase,
at odd with,C2,IDIOM,phrase,
at once,B1,,phrase,
at one time or another,C2,,phrase,
at random,C1,,phrase,
at risk,B2,,phrase,
at stake,C2,,phrase,
at the expense of,C1,,phrase,
at the good of time,C2,,phrase,
at the late,C2,,phrase,
at the mercy of,C2,,phrase,
at the moment,A2,,phrase,
at the same time,B1,,phrase,
at the tender age of 8,C2,,phrase,
at the very least,C1,,phrase,describing things
at this rate,C2,,phrase,communication
at time,C1,,phrase,
at well,C2,,phrase,
at your convenience,B2,,phrase,
at your fingertip,C2,IDIOM,phrase,
at your own risk,C2,,phrase,
athlete,B1,,noun,"shopping, work"
athletic,B2,,adjective,"body and health, shopping"
atmosphere,B1,FEELING,noun,
atom,B2,,noun,natural world
atomic,B2,,adjective,technology
attach,B1,COMPUTING,verb,technology
attach importance,C2,,phrase,
attach to,C1,,phrase,"people: personality, relationships"
attachment,B2,EQUIPMENT,noun,
attack,B1,TRY TO HURT,verb,"crime, people: actions"
attain,C1,,verb,
attainable,C2,,adjective,
attempt,B1,,verb,people: actions
attend,B1,BE PRESENT,verb,people: actions
attend a church,B1,,phrase,"education, people: actions"
attendance,C1,NUMBER,noun,
attention,B1,NOTICE,noun,
attic,B2,,noun,buildings
attitude,B1,,noun,people: personality
attorney,C1,,noun,"crime, work"
attract,B1,ENCOURAGE INTEREST,verb,people: personality
attract attention,B1,,phrase,
attract to,B2,,phrase,"people: personality, relationships"
attraction,B1,THING TO SEE OR DO,noun,
attractive,A2,BEAUTIFUL,adjective,people: appearance
attribute,C2,,noun,
attribute to,C2,,phrasal verb,
auction,C1,,noun,
audience,B1,GROUP,noun,arts and media
audition,C1,,noun,
august,A1,,noun,
aunt,A2,,noun,relationships
authentic,C1,,adjective,describing things
author,B1,,noun,"arts and media, work"
authority,B2,POWER,noun,
authorize,C1,,verb,
authorize to do,C1,,phrase,
automatic,B2,MACHINE,adjective,technology
automatically,B2,MACHINE,adverb,technology
availability,B2,,noun,
available,A2,NOT BUSY,adjective,
avenue,C1,STREET,noun,
average,A2,USUAL,adjective,describing things
avoid,B1,STAY AWAY FROM,verb,people: actions
avoid do,B2,,phrase,people: actions
awake,B1,,adjective,body and health
award,B2,,verb,money
aware,B2,,adjective,people: personality
awareness,C1,,noun,
away,A2,SOMEWHERE ELSE,adverb,
awe,C2,,noun,
awesome,A2,GOOD,adjective,describing things
awful,A2,BAD,adjective,describing things
awkward,B2,DIFFICULT,adjective,
baby,A1,CHILD,noun,people: appearance
babysit,B1,,verb,people: actions
babysitter,B1,,noun,work
back,A1,RETURNING,adverb,describing things
back and forth,C2,,phrase,
back away,C2,,phrase,
back off,C2,,phrasal verb,people: actions
back out,C1,,phrasal verb,people: actions
back road,C1,,phrase,
back up or back up,B2,,phrasal verb,people: actions
backache,B1,,noun,body and health
background,B1,EXPERIENCE,noun,people: personality
backing,C2,,noun,
backpack,A2,,noun,"clothes, travel"
backpacker,B1,,noun,travel
backpacking,B1,,noun,travel
backup,B2,EXTRA HELP,noun,
backward,B1,BEHIND,adverb,
backyard,B1,,noun,
bacon,B1,,noun,food and drink
bacteria,C1,,noun,"body and health, natural world"
bad,A1,UNPLEASANT,adjective,describing things
bad - tempered,B2,,adjective,people: personality
bad and bad,B2,,phrase,describing things
bad for,A2,,phrase,
bad press,C1,,phrase,
bad shape,B2,,phrase,"body and health, describing things"
badge,B2,,noun,clothes
badly,A2,LOW QUALITY,adverb,describing things
badminton,A2,,noun,shopping
bag,A1,,noun,shopping
baggage,B1,BAGS,noun,travel
bake,A2,,verb,food and drink
baker,B1,,noun,"food and drink, work"
bakery,B2,,noun,"shopping, work"
balance,B2,EQUAL IMPORTANCE,noun,
balanced,B2,FAIR,adjective,"describing things, people: personality"
balcony,B1,HOUSE ETC.,noun,buildings
bald,B1,,adjective,"body and health, people: appearance"
ball,A1,ROUND OBJECT,noun,shopping
ballet,B2,,noun,arts and media
balloon,A2,,noun,
ban,B2,,verb,communication
banana,A1,,noun,food and drink
band,A1,,noun,arts and media
bandage,A2,,noun,body and health
bang,B2,,verb,people: actions
bank,A1,MONEY,noun,money
bank account,B2,,noun,money
banker,B2,,noun,"money, work"
banking,A2,MONEY MANAGEMENT,noun,money
bankrupt,C1,,adjective,money
bar,A2,DRINKING PLACE,noun,food and drink
barbecue,A2,EQUIPMENT,noun,"food and drink, buildings"
barber,B1,,noun,work
barbershop,B1,,noun,
bare,C1,NO CLOTHES,adjective,"clothes, people: appearance"
barely,C1,,adverb,describing things
bargain,B1,,noun,"money, shopping"
bark,B2,DOG,verb,animals
barn,C2,,noun,
barrier,B2,PREVENTING,noun,
bartender,B2,,noun,"food and drink, work"
base,B2,BOTTOM,noun,describing things
base in,B2,,phrase,
base on,B1,,phrasal verb,
baseball,A1,,noun,shopping
basement,B2,,noun,buildings
basi,B2,METHOD,noun,
basic,B1,NECESSARY,adjective,describing things
basically,B2,MOSTLY,adverb,communication
basket,B1,,noun,shopping
basketball,A1,,noun,shopping
bat,A1,STICK,noun,shopping
