Word,Level,Kanji,Hiragana,English
もって,N1,以て,もって,"with, by, by means of, because, in view of"
もっと,N5,,もっと,more
もっとも,N4,,もっとも,extremely
もっぱら,N1,専ら,もっぱら,"wholly, solely, entirely"
もつ,N5,持つ,もつ,to hold
もてなす,N1,持て成す,もてなす,"to entertain, to make welcome"
もてる,N1,持てる,もてる,"to be well liked, to be popular"
もと,N3,元,もと,"(1) origin,original,(2) former"
もとい,N1,基,もとい,basis
もとづく,N3,基づく,もとづく,"to be grounded on,to be based on,to be due to,to originate from"
もとめる,N3,求める,もとめる,"to seek,to request,to demand,to want,to wish for,to search for,to pursue (pleasure),to hunt (a job),"
もともと,N2,元々,もともと,"originally,by nature,from the start"
もどす,N3,戻す,もどす,"to restore,to put back,to return"
もどる,N4,戻る,もどる,to turn back
もの,N5,物,もの,thing
ものおき,N2,物置,ものおき,storage room
ものおと,N3,物音,ものおと,sounds
ものがたり,N3,物語,ものがたり,"tale,story,legend"
ものがたる,N2,物語る,ものがたる,"to tell,to indicate"
ものごと,N3,物事,ものごと,"things,everything"
ものさし,N2,物差し,ものさし,"ruler,measure"
ものすごい,N2,物凄い,ものすごい,"earth-shattering,staggering,to a very great extent"
ものずき,N1,物好き,ものずき,curiosity
ものたりない,N1,物足りない,ものたりない,"unsatisfied, unsatisfactory"
もはや,N1,最早,もはや,"already, now"
もはん,N1,模範,もはん,"exemplar, exemplification, exemplum, model, example"
もほう,N1,模倣,もほう,"imitation, copying"
もみじ,N2,紅葉,もみじ,(1) (Japanese) maple
もむ,N2,揉む,もむ,"to rub,to crumple (up),to wrinkle"
もめる,N1,揉める,もめる,"to disagree, to dispute"
もめん,N4,木綿,もめん,cotton
もも,N1,腿,もも,"thigh, femur"
もやす,N2,燃やす,もやす,to burn
もよう,N3,模様,もよう,"pattern,figure,design"
もよおし,N2,催し,もよおし,"event,festivities,function"
もよおす,N1,催す,もよおす,"to hold (a meeting), to give (a dinner), to feel, to show signs of, to develop symptoms of, to feel (sick"
もらう,N4,,もらう,to receive
もらす,N1,漏らす,もらす,"to let leak, to reveal"
もり,N4,森,もり,forest
もりあがる,N1,盛り上がる,もりあがる,"to rouse, to swell, to rise"
もる,N2,盛る,もる,"(1) to serve (food, etc.),(2) to fill up,(3) to prescribe"
もれる,N1,漏れる,もれる,"to leak out, to escape, to come through, to shine through, to filter out, to be omitted"
もろい,N1,脆い,もろい,"brittle, fragile, tender-hearted"
もろに,N1,,もろに,"completely, all the way"
もん,N5,門,もん,gate
もんく,N3,文句,もんく,"phrase,complaint"
もんじ,N3,文字,もんじ,"letter (of alphabet),character"
もんだい,N5,問題,もんだい,problem
もんどう,N2,問答,もんどう,"questions and answers,dialogue"
や,N1,矢,や,arrow
やおや,N5,八百屋,やおや,greengrocer
やかましい,N2,,やかましい,"(1) noisy,(2) strict,fussy"
やかん,N2,夜間,やかん,"at night,nighttime"
やがい,N1,野外,やがい,"fields, outskirts, open air, suburbs"
やがて,N3,,やがて,"before long,soon,at length"
やぎょう,N1,夜行,やぎょう,"walking around at night, night train, night travel"
やく,N4,焼く,やく,"to bake,to grill"
やくしゃ,N2,役者,やくしゃ,"actor,actress"
やくしょ,N2,役所,やくしょ,"government office,public office"
やくしょく,N1,役職,やくしょく,"post, managerial position, official position"
やくす,N2,訳す,やくす,to translate
やくそく,N4,約束,やくそく,promise
やくだつ,N1,役立つ,やくだつ,"to be useful, to be helpful, to serve the purpose"
やくにたつ,N4,役に立つ,やくにたつ,to be helpful
やくにん,N2,役人,やくにん,government official
やくば,N1,役場,やくば,town hall
やくひん,N2,薬品,やくひん,"medicine(s),chemical(s)"
やくめ,N2,役目,やくめ,"duty,business"
やくわり,N3,役割,やくわり,"part,assigning (allotment of) parts,role,duties"
やぐ,N1,夜具,やぐ,bedding
やけど,N2,火傷,やけど,"burn,scald"
やける,N4,焼ける,やける,"to burn,to be roasted"
やこう,N2,夜行,やこう,"walking around at night,night train,night travel"
やさ,N1,優,やさ,"gentle, affectionate"
やさい,N5,野菜,やさい,vegetable
やさしい,N5,易しい,やさしい,"easy, simple"
やしき,N1,屋敷,やしき,mansion
やしなう,N1,養う,やしなう,"to rear, to maintain, to cultivate"
やしろ,N1,社,やしろ,Shinto shrine
やしん,N1,野心,やしん,"ambition, aspiration, designs, treachery"
やじるし,N2,矢印,やじるし,directing arrow
やすい,N5,安い,やすい,cheap
やすっぽい,N1,安っぽい,やすっぽい,"cheap-looking, tawdry, insignificant"
やすみ,N5,休み,やすみ,"rest,holiday"
やすむ,N5,休む,やすむ,to rest
やすめる,N1,休める,やすめる,"to rest, to suspend, to give relief"
やせい,N1,野生,やせい,wild
やせる,N4,痩せる,やせる,to become thin
やたらに,N2,,やたらに,"randomly,recklessly,blindly"
やちゅう,N1,夜中,やちゅう,"all night, the whole night"
やちん,N3,家賃,やちん,rent
やっかい,N3,厄介,やっかい,"trouble,burden,care,bother"
やっきょく,N2,薬局,やっきょく,"pharmacy,drugstore"
やっこ,N1,奴,やっこ,"servant, fellow"
やっつ,N5,八つ,やっつ,eight
やっつける,N2,,やっつける,"to attack (an enemy),to beat,to do away with,to finish off"
やっと,N4,,やっと,at last
やっぱり,N4,,やはり/やっぱり,"as I thought,absolutely"
やっ付ける,N1,やっ付ける,やっつける,to beat
やとう,N3,雇う,やとう,"to employ,to hire"
やど,N3,宿,やど,"inn,lodging"
やぬし,N2,家主,やぬし,landlord
やね,N3,屋根,やね,roof
やはり,N4,,やはり/やっぱり,"as I thought,absolutely"
やぶく,N2,破く,やぶく,
やぶる,N3,破る,やぶる,"to tear,to violate,to defeat,to smash,to destroy"
やぶれる,N2,破れる,やぶれる,"to get torn,to wear out"
やま,N5,山,やま,mountain
やまい,N1,病,やまい,"illness, disease"
やみ,N1,闇,やみ,"darkness, the dark, black-marketeering, dark, shady, illegal"
やむ,N4,止む,やむ,to stop
やむをえない,N2,,やむをえない,"cannot be helped,unavoidable"
やめる,N4,止める,やめる,to stop
やや,N3,,やや,"a little,partially,somewhat,a short time,a while"
ややこしい,N1,,ややこしい,"puzzling, tangled, complicated, complex"
やりとおす,N1,遣り通す,やりとおす,"to carry through, to achieve, to complete"
やりとげる,N1,やり遂げる,やりとげる,to accomplish
やり遂げる,N1,やり遂げる,やりとげる,to accomplish
やる,N5,,やる,to do
やわらかい,N4,柔らかい,やわらかい,soft
やわらげる,N1,和らげる,やわらげる,"to soften, to moderate, to relieve"
ゆ,N4,湯,ゆ,hot water
ゆいいつ,N3,唯一,ゆいいつ,"only,sole,unique"
ゆう,N3,言う,ゆう,to say
ゆうい,N1,優位,ゆうい,"predominance, ascendancy, superiority"
ゆううつ,N1,憂鬱,ゆううつ,"depression, melancholy, dejection, gloom"
ゆうえき,N1,有益,ゆうえき,"beneficial, profitable"
ゆうえつ,N1,優越,ゆうえつ,"supremacy, predominance, being superior to"
ゆうえんち,N2,遊園地,ゆうえんち,amusement park
ゆうかん,N2,夕刊,ゆうかん,evening paper
ゆうがた,N5,夕方,ゆうがた,evening
ゆうき,N3,勇気,ゆうき,"courage,bravery,valour,nerve,boldness"
ゆうぐれ,N1,夕暮れ,ゆうぐれ,"evening, (evening) twilight"
ゆうこう,N3,有効,ゆうこう,"validity,availability,effectiveness"
ゆうし,N1,融資,ゆうし,"financing, loan"
ゆうしゅう,N3,優秀,ゆうしゅう,"superiority,excellence"
ゆうしょう,N3,優勝,ゆうしょう,"overall victory,championship"
ゆうじょう,N3,友情,ゆうじょう,"friendship,fellowship"
ゆうじん,N3,友人,ゆうじん,friend
ゆうする,N1,有する,ゆうする,"to own, to be endowed with"
ゆうずう,N1,融通,ゆうずう,"lending (money), accommodation, adaptability, versatility, finance"
ゆうせい,N1,優勢,ゆうせい,"superiority, superior power, predominance, preponderance"
ゆうせん,N1,優先,ゆうせん,"preference, priority"
ゆうそう,N2,郵送,ゆうそう,mailing
ゆうだち,N2,夕立,ゆうだち,(sudden) evening shower (rain)
ゆうどう,N1,誘導,ゆうどう,"guidance, leading, induction, introduction, incitement, inducement"
ゆうのう,N3,有能,ゆうのう,"able,capable,efficient,skill"
ゆうはん,N5,夕飯,ゆうはん,dinner
ゆうひ,N2,夕日,ゆうひ,"(in) the evening sun,setting sun"
ゆうび,N1,優美,ゆうび,"grace, refinement, elegance"
ゆうびん,N3,郵便,ゆうびん,"mail,postal service"
ゆうびんきょく,N5,郵便局,ゆうびんきょく,post office
ゆうべ,N5,昨夜,ゆうべ,last night
ゆうぼう,N1,有望,ゆうぼう,"good prospects, full of hope, promising"
ゆうぼく,N1,遊牧,ゆうぼく,nomadism
ゆうめい,N5,有名,ゆうめい,famous
ゆうやけ,N1,夕焼け,ゆうやけ,sunset
ゆうゆう,N2,悠々,ゆうゆう,"quiet,calm,leisurely"
ゆうり,N3,有利,ゆうり,"advantageous,better,profitable,lucrative"
ゆうりょう,N2,有料,ゆうりょう,"admission-paid,toll"
ゆうりょく,N1,有力,ゆうりょく,"1. influence, prominence, 2. potent"
ゆうれい,N1,幽霊,ゆうれい,"ghost, specter, apparition, phantom"
ゆうわく,N1,誘惑,ゆうわく,"temptation, allurement, lure"
ゆか,N3,床,ゆか,floor
ゆかい,N3,愉快,ゆかい,"pleasant,happy"
ゆかた,N2,浴衣,ゆかた,"bathrobe,informal summer kimono,yukata"
ゆき,N5,雪,ゆき,snow
ゆく,N5,行く,ゆく,to go
ゆけつ,N2,輸血,ゆけつ,blood transfusion
ゆげ,N2,湯気,ゆげ,"steam,vapour"
ゆさぶる,N1,揺さぶる,ゆさぶる,"to shake, to jolt, to rock, to swing"
ゆしゅつ,N4,輸出,ゆしゅつ・する,to export
ゆずる,N3,譲る,ゆずる,"to turn over,to assign,to hand over"
ゆそう,N2,輸送,ゆそう,"transport,transportation"
ゆたか,N3,豊か,ゆたか,"abundant,wealthy,plentiful,rich"
ゆだん,N2,油断,ゆだん,"negligence,unpreparedness"
ゆっくり,N3,,ゆっくり,"slowly,at ease"
ゆっくりと,N5,,ゆっくりと,slowly
ゆでる,N2,,ゆでる,to boil
ゆとり,N1,,ゆとり,"reserve, affluence, room, time (to spare)"
ゆにゅう,N4,輸入,ゆにゅう・する,to import
ゆのみ,N2,湯飲み,ゆのみ,teacup
ゆび,N4,指,ゆび,finger
ゆびさす,N1,指差す,ゆびさす,to point at
ゆびわ,N4,指輪,ゆびわ,finger ring
ゆみ,N1,弓,ゆみ,bow (and arrow)
ゆめ,N4,夢,ゆめ,dream
ゆらぐ,N1,揺らぐ,ゆらぐ,"to swing, to sway, to shake, to tremble"
ゆるい,N2,緩い,ゆるい,"loose,lenient,slow"
ゆるす,N3,許す,ゆるす,"to permit,to allow,to approve"
ゆるむ,N1,緩む,ゆるむ,"to become loose, to slacken"
ゆるめる,N1,緩める,ゆるめる,"to loosen, to slow down"
ゆるやか,N1,緩やか,ゆるやか,lenient
ゆれる,N4,揺れる,ゆれる,"to shake,to sway"
よ,N3,夜,よ,"evening,night"
よあけ,N3,夜明け,よあけ,"dawn,daybreak"
よい,N5,,いい/よい,good
よう,N4,用,よう,use
ようい,N4,用意,ようい,preparation
よういん,N1,要因,よういん,"primary factor, main cause"
ようえき,N1,溶液,ようえき,solution (liquid)
ようか,N5,八日,ようか,"eight days, eighth day of the month"
ようがん,N2,溶岩,ようがん,lava
ようき,N3,陽気,ようき,"season,weather,cheerfulness"
ようきゅう,N3,要求,ようきゅう,"request,demand,requisition"
ようけん,N1,用件,ようけん,business
ようご,N2,用語,ようご,"term,terminology"
ようし,N2,要旨,ようし,"gist,essentials,summary,fundamentals"
ようしき,N1,様式,ようしき,"style, form, pattern"
ようじ,N4,用事,ようじ,things to do
ようじん,N3,用心,ようじん,"care,precaution,guarding,caution"
ようす,N3,様子,ようす,"aspect,state,appearance"
ようする,N1,要する,ようする,"to demand, to require, to take"
ようするに,N3,要するに,ようするに,"in a word,after all,the point is ..,in short .."
ようせい,N1,要請,ようせい,"claim, demand, request, application"
ようせき,N2,容積,ようせき,"capacity,volume"
ようそ,N3,要素,ようそ,element
ようそう,N1,様相,ようそう,aspect
ようち,N2,幼稚,ようち,"infancy,childish,infantile"
ようちえん,N2,幼稚園,ようちえん,kindergarten
ようてん,N3,要点,ようてん,"gist,main point"
ようと,N2,用途,ようと,"use,usefulness"
ようひん,N1,用品,ようひん,"articles, supplies, parts"
ようひんてん,N2,洋品店,ようひんてん,shop which handles Western-style apparel and accessories
