Word,Level,길잡이말,품사,Word_Number
가게,초급,에 가다,명사,
가격,초급,이 비싸다,명사,03
가구,초급,책상,명사,04
가깝다,초급,거리가,형용사,
가끔,초급,가끔 보다,부사,
가늘다,초급,손가락이,형용사,
가다,초급,학교에,동사,01
가득,초급,가득 담다,부사,01
가르치다,초급,한국어를,동사,01
가리키다,초급,손가락으로,동사,01
가방,초급,을 메다,명사,01
가볍다,초급,짐이,형용사,
가수,초급,직업,명사,11
가슴,초급,신체,명사,01
가요,초급,를 부르다,명사,02
가운데,초급,가운데 자리,명사,
가위,초급,로 자르다,명사,01
가을,초급,계절,명사,01
가장,초급,가장 빠르다,부사,01
가져가다,초급,집에,동사,
가져오다,초급,학교로,동사,
가족,초급,식구,명사,01
가지,초급,몇,의존명사,04
가지다,초급,돈을,동사,
각각,초급,각각 다르다,부사/명사,01
간단하다,초급,간단한 설명,형용사,02
간단히,초급,간단히 끝내다,부사,
간식,초급,을 먹다,명사,02
간장,초급,을 넣다,명사,01
간호사,초급,로 일하다,명사,
갈비,초급,를 먹다,명사,01
갈비탕,초급,을 먹다,명사,
갈색,초급,색깔,명사,
갈아입다,초급,옷을,동사,
갈아타다,초급,기차를,동사,
감,초급,과일,명사,01
감기,초급,에 걸리다,명사,04
감기약,초급,을 먹다,명사,
감다,초급,눈을,동사,01
감다,초급,머리를,동사,02
감사,초급,감사 인사,명사,08
감자,초급,채소,명사,01
갑자기,초급,갑자기 나타나다,부사,
값,초급,을 깎다,명사,
강,초급,을 건너다,명사,01
강아지,초급,를 키우다,명사,
강하다,초급,힘이,형용사,02
갖다,초급,돈을,동사,01
같다,초급,서로 같다,형용사,
같이,초급,같이 살다,부사,
갚다,초급,돈을,동사,
개,초급,동물,명사,03
개,초급,한 개,의존명사,10
개월,초급,삼 개월,의존명사,
거,초급,것,의존명사,01
거기,초급,거기에 있다,대명사,01
거리,초급,로 나가다,명사,01
거리,초급,가 가깝다,명사,08
거실,초급,집,명사,02
거울,초급,을 보다,명사,01
거의,초급,거의 없다,부사/명사,01
거절,초급,을 하다,명사,01
거짓말,초급,을 하다,명사,
걱정,초급,이 되다,명사,
건강,초급,이 나빠지다,명사,03
건너가다,초급,길을,동사,
건너다,초급,길을,동사,
건너편,초급,으로 가다,명사,
건물,초급,을 짓다,명사,03
걷다,초급,길을,동사,02
걸다,초급,그림을,동사,02
걸리다,초급,그림이,동사,01
걸어가다,초급,학교에,동사,
걸어오다,초급,집에,동사,01
걸음,초급,이 느리다,명사,
검사,초급,숙제 검사,명사,03
검은색,초급,색깔,명사,
검정,초급,색깔,명사,01
것,초급,먹을 것,의존명사,01
겉,초급,안과 겉,명사,01
게으르다,초급,사람이,형용사,
게임,초급,컴퓨터 게임,명사,
겨울,초급,계절,명사,
결과,초급,가 나오다,명사,02
결석,초급,을 하다,명사,01
결심,초급,을 하다,명사,01
결정,초급,을 내리다,명사,01
결혼,초급,을 하다,명사,
결혼식,초급,을 올리다,명사,
경기,초급,를 보다,명사,11
경찰,초급,경찰 조사(기관),명사,04
경찰서,초급,에 신고하다,명사,
경치,초급,가 좋다,명사,02
경험,초급,을 쌓다,명사,
계단,초급,을 오르다,명사,04
계란,초급,을 먹다,명사,
계산,초급,이 정확하다,명사,01
계속,초급,계속 달리다,부사/명사,04
계시다,초급,한국에,동사,
계절,초급,이 바뀌다,명사,01
계획,초급,을 세우다,명사,01
고개,초급,를 들다,명사,01
고기,초급,를 먹다,명사,01
고등학교,초급,에 입학하다,명사,
고등학생,초급,이 되다,명사,
고르다,초급,선물을,동사,01
고맙다,초급,마음이,형용사,01
고모,초급,친척,명사,01
고민,초급,을 나누다,명사,
고속버스,초급,를 타다,명사,
고양이,초급,를 기르다,명사,
고장,초급,이 나다,명사,11
고추장,초급,을 넣다,명사,
고치다,초급,컴퓨터를,동사,01
고프다,초급,배가,형용사,
고향,초급,에 가다,명사,02
곧,초급,곧 가다,부사,01
곳,초급,어느 곳,명사,01
공,초급,을 굴리다,명사,01
공무원,초급,으로 일하다,명사,
공부,초급,를 하다,명사,01
공원,초급,에서 놀다,명사,03
공장,초급,에서 일하다,명사,02
공짜,초급,로 주다,명사,
공책,초급,에 쓰다,명사,01
공항,초급,공항 터미널,명사,02
공휴일,초급,로 정하다,명사,
과거,초급,를 잊다,명사,03
과일,초급,을 깎다,명사,01
과자,초급,를 먹다,명사,02
관계,초급,를 맺다,명사,05
관광,초급,국내 관광,명사,02
관광객,초급,외국인 관광객,명사,
관광지,초급,국내 관광지,명사,
관심,초급,을 가지다,명사,01
광고,초급,신문 광고,명사,02
광주,초급,지명,명사,01
괜찮다,초급,성격이,형용사,
괴로워하다,초급,통증으로,동사,
교과서,초급,에서 배우다,명사,
교사,초급,수학 교사,명사,09
교수,초급,대학 교수,명사,06
교실,초급,에 들어가다,명사,
교육,초급,을 받다,명사,
교통,초급,교통 수단,명사,01
교통비,초급,가 들다,명사,
교통사고,초급,가 나다,명사,
교환,초급,을 하다,명사,01
교회,초급,기독교,명사,02
구,초급,숫자,수사/관형사,01
구경,초급,을 다니다,명사,01
구두,초급,를 신다,명사,01
구름,초급,이 끼다,명사,01
구십,초급,구십 살,수사/관형사,
구월,초급,달(월),명사,02
국,초급,을 끓이다,명사,01
국내,초급,국내 여행,명사,02
국수,초급,를 먹다,명사,01
국적,초급,대한민국 국적,명사,02
국제,초급,국제 관계,명사,02
군인,초급,직업 군인,명사,
굳다,초급,땅이,동사/형용사,
굵다,초급,손가락이,형용사,
굽다,초급,고기를,동사,01
궁금하다,초급,소식이,형용사,01
권,초급,책 한 권,의존명사,01
귀,초급,로 듣다,명사,01
귀걸이,초급,를  달다,명사,
귀여워하다,초급,강아지를,동사,
귀엽다,초급,얼굴이,형용사,
귀찮다,초급,일이,형용사,
규칙,초급,을 어기다,명사,02
귤,초급,을 까다,명사,
그,초급,그 사람,관형사/대명사,01
그거,초급,그것,대명사,
그것,초급,−,대명사,
그곳,초급,에 가다,대명사,
그날,초급,그날 일,명사,
그냥,초급,그냥 가다,부사,
그대로,초급,그대로 두다,부사,
그동안,초급,그동안 잘 지내다,명사,
그때,초급,그때 그시절,명사,
그래,초급,대답,감탄사,01
그래서,초급,−,부사,
그러나,초급,−,부사,
그러니까,초급,−,부사,
그러면,초급,−,부사,
그러므로,초급,−,부사,
그런,초급,그런 사람,관형사,01
그런데,초급,−,부사,
그럼,초급,그러면,부사,01
그럼,초급,"그럼, 당연하지",감탄사,02
그렇다,초급,사정이,형용사,
그렇지만,초급,−,부사,
그릇,초급,에 담다,명사,01
그리고,초급,−,부사,
그리다,초급,그림을,동사,02
그림,초급,을 그리다,명사,01
그립다,초급,가족이,형용사,
그만,초급,그만 먹다,부사,02
그만두다,초급,학교를,동사,
그분,초급,을 만나다,대명사,
그저께,초급,그저께 밤,부사/명사,
그쪽,초급,으로 가다,대명사,
그치다,초급,비가,동사,
극장,초급,에서 상영하다,명사,
근처,초급,집 근처,명사,
글,초급,을 쓰다,명사,
글쎄,초급,"글쎄, 잘 몰라요",감탄사,01
글쎄요,초급,글쎄요. 몰라요.,감탄사,
글씨,초급,를 쓰다,명사,
글자,초급,를 쓰다,명사,
금방,초급,방금,부사,01
금요일,초급,요일,명사,
금지,초급,통행 금지,명사,04
급하다,초급,사정이,형용사,
기간,초급,이 지나다,명사,07
기다리다,초급,버스를,동사,
기르다,초급,개를,동사,
기름,초급,에 튀기다,명사,01
기말시험,초급,을 보다,명사,
기분,초급,이 좋다,명사,01
기뻐하다,초급,졸업을,동사,
기쁘다,초급,마음이,형용사,
기쁨,초급,을 나누다,명사,
기숙사,초급,에서 살다,명사,
기억,초급,이 나다,명사,02
기억나다,초급,이름이,동사,
기온,초급,이 높다,명사,
기자,초급,신문 기자,명사,05
기차,초급,를 타다,명사,01
기차역,초급,에 도착하다,명사,
기차표,초급,를 끊다,명사,
기침,초급,이 나다,명사,01
기타,초급,를 치다,명사,02
기회,초급,를 놓치다,명사,03
긴장,초급,을 풀다,명사,
길,초급,이 막히다,명사,01
길다,초급,다리가,형용사,02
길이,초급,를 재다,명사,01
김,초급,을 먹다,명사,03
김밥,초급,을 싸다,명사,
김치,초급,를 담그다,명사,01
김치찌개,초급,를 끓이다,명사,
깊다,초급,바다가,형용사,
깊이,초급,깊이 묻다,부사,02
까만색,초급,색깔,명사,
까맣다,초급,밤하늘이,형용사,
깎다,초급,사과를,동사,
깜짝,초급,깜짝 놀라다,부사,02
깨끗이,초급,깨끗이 씻다,부사,
깨끗하다,초급,옷이 ,형용사,
깨다,초급,잠이,동사,01
꺼내다,초급,가방에서,동사,
껌,초급,을 씹다,명사,
꼭,초급,꼭 필요하다,부사,03
꽃,초급,이 피다,명사,01
꽃다발,초급,을 선물하다,명사,
꽃병,초급,을 깨뜨리다,명사,
꽃집,초급,을 열다,명사,
꾸다,초급,꿈을,동사,01
꿈,초급,을 꾸다,명사,01
끄다,초급,불을,동사,01
끊다,초급,담배를,동사,
끓다,초급,물이,동사,
끓이다,초급,물을,동사,01
끝,초급,시작,명사,01
끝나다,초급,수업이,동사,
끝내다,초급,일을,동사,
끼다,초급,반지를,동사,01
나,초급,나와 너,대명사/명사,03
나가다,초급,밖으로,동사,
나누다,초급,둘로,동사,
나다,초급,수염이,동사,01
나라,초급,우리 나라,명사,01
나머지,초급,나머지 돈,명사,
나무,초급,를 심다,명사,01
나쁘다,초급,공기가,형용사,01
나오다,초급,밖에,동사,
나이,초급,가 많다,명사,01
나중,초급,에 깨닫다,명사,01
나타나다,초급,건물이,동사,
나흘,초급,이 걸리다,명사,
낚시,초급,를 가다,명사,
날,초급,마지막 날,명사/의존명사,01
날다,초급,새가,동사,01
날씨,초급,가 좋다,명사,01
날씬하다,초급,몸매가,형용사,
날아다니다,초급,나비가,동사,
날짜,초급,를 정하다,명사,01
남,초급,타인,명사,01
남기다,초급,음식을,동사,
남녀,초급,남녀 평등,명사,
남다,초급,시간이,동사,01
남대문,초급,고적,명사,
남동생,초급,을 돌보다,명사,
남산,초급,지명,명사,02
남성,초급,여성,명사,01
남자,초급,여자,명사,02
남쪽,초급,북쪽,명사,
남편,초급,아내,명사,01
남학생,초급,여학생,명사,
낫다,초급,병이,동사,01
낫다,초급,더 낫다,형용사,02
낮,초급,밤,명사,
낮다,초급,산이,형용사,
낮잠,초급,을 자다,명사,
내,초급,내가,대명사,04
내과,초급,병원,명사,01
내년,초급,내년 여름,명사,
내다,초급,문제를,동사,02
내려가다,초급,아래로,동사,
내려오다,초급,아래로,동사,
내리다,초급,비가,동사,01
내용,초급,수업 내용,명사,02
내일,초급,로 미루다,명사/부사,
냄비,초급,에 끓이다,명사,
냄새,초급,를 맡다,명사,
냉면,초급,을 먹다,명사,
냉장고,초급,에 넣다,명사,
너,초급,나,대명사,01
너무,초급,너무 심하다,부사,01
너희,초급,너희 가족,대명사,
넓다,초급,집이,형용사,
넘다,초급,세 시간이,동사,01
넘어지다,초급,자전거가,동사,
넣다,초급,책을,동사,
네,초급,네가,대명사,01
네,초급,숫자(4),관형사,02
네,초급,대답,감탄사,03
넥타이,초급,를 매다,명사,
넷,초급,숫자,수사,01
넷째,초급,넷째 시간,수사·관형사/명사,
년,초급,2015년,의존명사,02
노란색,초급,색깔,명사,
노랗다,초급,병아리가,형용사,
노래,초급,를 부르다,명사,01
노래방,초급,에 가다,명사,
노력,초급,을 하다,명사,01
노인,초급,을 공경하다,명사,01
노트,초급,에 쓰다,명사,02
녹색,초급,색깔,명사,
녹차,초급,를 마시다,명사,01
놀다,초급,친구와 놀다,동사,01
놀라다,초급,깜짝 놀라다,동사,
놀이,초급,인형 놀이,명사,01
농구,초급,농구 경기,명사,06
농담,초급,을 주고받다,명사,01
높다,초급,산이,형용사,
높이,초급,가 높다,명사,01
높이,초급,높이 날다,부사,02
놓다,초급,펜을,동사,01
누구,초급,거기 누구 계세요?,대명사,
누나,초급,사촌 누나,명사,01
누르다,초급,버튼을,동사,01
눈,초급,이 작다,명사,01
눈,초급,날씨,명사,04
눈물,초급,이 흐르다,명사,01
눕다,초급,바닥에,동사,01
뉴스,초급,를 보다,명사,
느끼다,초급,추위를,동사,02
느낌,초급,이 좋다,명사,
느리다,초급,걸음이,형용사,01
늘,초급,늘 만나다,부사,
늘다,초급,면적이,동사,01
늙다,초급,사람이,동사,
능력,초급,이 있다,명사,02
늦다,초급,시계가,형용사/동사,
다,초급,모두,부사/명사,03
다녀오다,초급,학교에,동사,
다니다,초급,회사에,동사,
다르다,초급,모양이,형용사,01
다른,초급,다른 나라,관형사,
다리,초급,가 길다,명사,01
다리,초급,를 건너다,명사,02
다림질,초급,을 하다,명사,
다섯,초급,다섯 개,수사·관형사,
다섯째,초급,다섯째 사람,수사·관형사/명사,
다시,초급,다시 시작하다,부사,01
다양,초급,다양한 방법,명사,
다음,초급,다음 날,명사,01
다음날,초급,에 만나다,명사,
다이어트,초급,에 성공하다,명사,
다치다,초급,팔을,동사,01
다하다,초급,기력이,동사,
닦다,초급,구두를,동사,01
단순,초급,단순 노동,명사,02
단어,초급,를 외우다,명사,
단추,초급,가 떨어지다,명사,01
단풍,초급,이 들다,명사,01
닫다,초급,문을,동사,02
달,초급,다음 달,명사/의존명사,05
달걀,초급,을 삶다,명사,
달다,초급,맛이,형용사,07
달력,초급,을 걸다,명사,
달리기,초급,가 빠르다,명사,
달리다,초급,빨리 달리다,동사,04
닭,초급,을 키우다,명사,
닭고기,초급,를 볶다,명사,
닮다,초급,아빠를,동사,
담배,초급,를 피우다,명사,
답,초급,이 없다,명사,03
답답하다,초급,가슴이,형용사,
답장,초급,을 보내다,명사,
대,초급,차 한 대,의존명사,16
대구,초급,에 살다,명사,03
대답,초급,을 기다리다,명사,
대부분,초급,대부분의 시간,명사/부사,
대사관,초급,미국 대사관,명사,
대전,초급,지명,명사,01
대학,초급,에 들어가다,명사,01
대학교,초급,에 입학하다,명사,
대학생,초급,이 되다,명사,
대학원,초급,을 다니다,명사,
대화,초급,를 나누다,명사,06
대회,초급,가 열리다,명사,02
댁,초급,선생님 댁,명사/대명사,01
더,초급,하나 더,부사,01
더럽다,초급,손이,형용사,
더욱,초급,더욱 좋다,부사,
덕분,초급,부모님 덕분,명사,
던지다,초급,공을,동사,
덥다,초급,날씨가,형용사,01
데려가다,초급,아이를,동사,
데려오다,초급,친구를,동사,
데이트,초급,를 신청하다,명사,
도,초급,영상 일 도,의존명사,05
도로,초급,를 건너다,명사,07
도서관,초급,에서 공부하다,명사,
도시,초급,를 건설하다,명사,03
도와주다,초급,일을,동사,
도움,초급,을 받다,명사,
도착,초급,도착 시간,명사,01
독서,초급,를 하다,명사,03
독일,초급,나라,명사,
돈,초급,을 벌다,명사,01
돈가스,초급,를 먹다,명사,
돌,초급,을 던지다,명사,02
돌다,초급,바퀴가,동사,
돌려주다,초급,책을,동사,
돌리다,초급,바퀴를,동사,04
돌아가다,초급,바퀴가,동사,
돌아오다,초급,학교에서,동사,
돕다,초급,아버지를,동사,
동네,초급,동네 사람,명사,
동대문,초급,고적,명사,
동물,초급,을 키우다,명사,
동물원,초급,에 가다,명사,
동생,초급,이 태어나다,명사,01
동시,초급,에 일어나다,명사,02
동안,초급,며칠 동안,명사,01
동전,초급,백 원짜리 동전,명사,05
동쪽,초급,방향,명사,
돼지,초급,를 기르다,명사,
돼지고기,초급,를 먹다,명사,
되다,초급,배우가,동사,01
-되다,초급,취소되다,접사,05
된장,초급,에 찍다,명사,
된장찌개,초급,를 먹다,명사,
두,초급,숫자,관형사,01
두껍다,초급,책이,형용사,
두다,초급,책상 위에,동사,01
두부,초급,를 먹다,명사,01
두세,초급,두세 개,관형사,
두통,초급,을 앓다,명사,
둘,초급,숫자,수사,01
둘째,초급,둘째 딸,수사·관형사/명사,
뒤,초급,에 있다,명사,01
뒤쪽,초급,방향,명사,01
드디어,초급,드디어 끝나다,부사,
드라마,초급,를 보다,명사,
드리다,초급,용돈을,동사,01
듣다,초급,음악을,동사,01
들다,초급,돈이,동사,01
들다,초급,가방을,동사,04
들르다,초급,서점에,동사,
들리다,초급,소리가,동사,03
들어가다,초급,방으로,동사,01
들어오다,초급,학교로,동사,
등,초급,신체,명사,01
등산,초급,을 가다,명사,
디자인,초급,이 예쁘다,명사,
따뜻하다,초급,방 안이,형용사,
따로,초급,따로 분리하다,부사,
딸,초급,아들,명사,01
딸기,초급,과일,명사,
땀,초급,이 나다,명사,01
땅,초급,에 떨어지다,명사,01
때,초급,어릴 때,명사,01
떠나다,초급,어디론가,동사,
떠들다,초급,시끄럽게,동사,01
떡,초급,음식,명사,01
떡국,초급,음식,명사,
떡볶이,초급,음식,명사,
떨어지다,초급,낭떠러지로 ,동사,
또,초급,또 생기다,부사,
또는,초급,남자 또는 여자,부사,
똑같다,초급,모양이,형용사,
똑같이,초급,똑같이 나누다,부사,
똑똑하다,초급,머리가,형용사,
똑바로,초급,똑바로 가다,부사,
뚱뚱하다,초급,몸매가,형용사,
뛰다,초급,운동장을,동사,02
뛰어가다,초급,학교로,동사,
뜨겁다,초급,국물이,형용사,
뜨다,초급,눈을,동사,05
뜻,초급,이 어렵다,명사,
라디오,초급,를 켜다,명사,
라면,초급,음식,명사,01
러시아,초급,나라,명사,
레스토랑,초급,에서 먹다,명사,
마당,초급,이 넓다,명사,
마르다,초급,물기가,동사,01
마리,초급,한 마리,의존명사,01
마시다,초급,물을,동사,
마을,초급,에 살다,명사,01
마음,초급,이 따뜻하다,명사,01
마중,초급,을 가다,명사,01
마지막,초급,마지막 경기,명사,
마치다,초급,일을,동사,02
마트,초급,에서 사다,명사,
마흔,초급,마흔 개,수사·관형사,
막걸리,초급,를 마시다,명사,
막히다,초급,통로가,동사,
만,초급,숫자,수사·관형사,06
만나다,초급,친구를,동사,
만두,초급,음식,명사,01
만들다,초급,음식을,동사,
만약,초급,만약의 경우,명사,
만일,초급,에 대비하다,명사,01
만지다,초급,손을,동사,
만화,초급,를 그리다,명사,10
많다,초급,돈이,형용사,
많이,초급,많이 사다,부사,
말,초급,을 하다,명사,01
말,초급,을 타다,명사,04
말,초급,학기 말,의존명사,11
말다,초급,걱정을,동사,03
말레이시아,초급,나라,명사,
말씀,초급,이 없다,명사,
맑다,초급,공기가,형용사,01
맛,초급,이 달다,명사,01
맛없다,초급,음식이,형용사,
맛있다,초급,음식이,형용사,
맞다,초급,답이,동사,01
맞추다,초급,답을,동사,01
매년,초급,매년 증가하다,명사/부사,
매다,초급,신발 끈을,동사,01
매달,초급,매달 만나다,명사/부사,
매우,초급,매우 좋다,부사,01
매일,초급,매일 만나다,명사/부사,
매주,초급,매주 만나다,명사/부사,01
매표소,초급,극장 매표소,명사,
맥주,초급,를 마시다,명사,
맵다,초급,고추가,형용사,
머리,초급,가 크다,명사,01
머리카락,초급,을 자르다,명사,
먹다,초급,밥을,동사,02
먼저,초급,먼저 가다,명사/부사,
멀다,초급,거리가,형용사,02
멀리,초급,멀리 가다,부사,01
멈추다,초급,피가,동사,
멋,초급,을 내다,명사,01
멋있다,초급,옷이 ,형용사,
메뉴,초급,를 고르다,명사,
메다,초급,가방을,동사,02
메모,초급,를 하다,명사,
메시지,초급,를 남기다,명사,
메일,초급,을 쓰다,명사,
며칠,초급,이 걸리다,명사,
명,초급,한 명,의존명사,03
명절,초급,을 맞다,명사,01
몇,초급,몇 개,수사/관형사,
모기,초급,에 물리다,명사,01
모두,초급,모두 함께,명사/부사,01
모든,초급,모든 사람,관형사,
모레,초급,시간,명사/부사,
모르다,초급,규칙을,동사,
모습,초급,을 보이다,명사,01
모시다,초급,부모님을,동사,
모양,초급,별 모양,명사,02
모으다,초급,장난감을,동사,
모이다,초급,돈이,동사,01
모임,초급,에 나가다,명사,01
모자,초급,를 쓰다,명사,08
모자라다,초급,잠이,동사,
목,초급,이 길다,명사,01
목걸이,초급,를 하다,명사,01
목도리,초급,를 하다,명사,
목소리,초급,가 크다,명사,
목요일,초급,요일,명사,
목욕,초급,을 하다,명사,
목욕탕,초급,에서 씻다,명사,
목적,초급,을 이루다,명사,03
몸,초급,이 건강하다,명사,01
못,초급,못 마시다,부사,04
못생기다,초급,얼굴이,형용사,
못하다,초급,노래를,동사/형용사,
몽골,초급,나라,명사,
무,초급,를 심다,명사,02
무겁다,초급,짐이,형용사,
무게,초급,가 나가다,명사,
무궁화,초급,꽃,명사,
무료,초급,로 주다,명사,01
무릎,초급,신체,명사,
무섭다,초급,귀신이,형용사,
무슨,초급,무슨 요일,관형사,
무엇,초급,−,대명사,
무척,초급,무척 길다,부사,01
문,초급,을 열다,명사,04
문제,초급,를 풀다,명사,06
문화,초급,를 교류하다,명사,01
묻다,초급,길을,동사,03
물,초급,을 마시다,명사,01
물건,초급,을 사다,명사,
물고기,초급,를 잡다,명사,
물론,초급,물론 그렇다,명사/부사,01
물어보다,초급,길을,동사,
뭐,초급,뭐라고 말하다,대명사/감탄사,
미국,초급,나라,명사,04
미끄러지다,초급,눈길에,동사,
미래,초급,가 밝다,명사,02
미리,초급,미리 알리다,부사,01
미술관,초급,국립 미술관,명사,
미안,초급,인사,명사,01
미역국,초급,을 끓이다,명사,
미용실,초급,에 가다,명사,
미터,초급,백 미터,의존명사,02
믿다,초급,약속을,동사,
밀가루,초급,밀가루 음식,명사,
밀다,초급,문을,동사,01
밑,초급,에 두다,명사,01
바깥,초급,에 나가다,명사,
바깥쪽,초급,으로 나가다,명사,
바꾸다,초급,달러를 원화로,동사,
바뀌다,초급,새 것으로,동사,
바나나,초급,과일,명사,
바다,초급,를 건너다,명사,
바닥,초급,에 떨어지다,명사,01
바닷가,초급,로 나가다,명사,
바라다,초급,성공을,동사,01
바라보다,초급,하늘을,동사,
바람,초급,이 불다,명사,01
바로,초급,바로 시작하다,부사,02
바르다,초급,로션을,동사,01
바쁘다,초급,일이,형용사,
바이올린,초급,을 켜다,명사,
바지,초급,를 입다,명사,01
박물관,초급,을 구경하다,명사,
박수,초급,를 치다,명사,02
밖,초급,안,명사,
반,초급,사과 반,명사,07
반,초급,우리 반,명사,10
반갑다,초급,손님이,형용사,
반대,초급,로 가다,명사,03
반드시,초급,반드시 가다,부사,
반바지,초급,를 입다,명사,
반지,초급,를 끼다,명사,02
반찬,초급,을 먹다,명사,
받다,초급,선물을,동사,01
받아쓰다,초급,노트에,동사,
발,초급,이 크다,명사,01
발가락,초급,신체,명사,
발바닥,초급,신체,명사,
밝다,초급,불빛이,동사/형용사,
밤,초급,이 깊다,명사,01
밥,초급,을 하다,명사,01
방,초급,이 넓다,명사,07
방금,초급,방금 가다,명사/부사,01
방문,초급,을 닫다,명사,02
방문,초급,고향 방문,명사,03
방법,초급,사용 방법,명사,
방송,초급,을 보다,명사,01
방송국,초급,라디오 방송국,명사,
방학,초급,겨울 방학,명사,
방향,초급,을 바꾸다,명사,01
배,초급,신체,명사,01
배,초급,를 타다,명사,02
배,초급,를 먹다,명사,03
배,초급,두 배,명사,09
배달,초급,을 시키다,명사,02
배드민턴,초급,을 치다,명사,
배우,초급,연극 배우,명사,01
배우다,초급,글을,동사,01
배추,초급,를 다듬다,명사,01
배탈,초급,이 나다,명사,01
백,초급,숫자,수사·관형사,05
백만,초급,백만 개,수사·관형사,
백화점,초급,에서 사다,명사,
뱀,초급,동물,명사,
버릇,초급,이 되다,명사,01
버리다,초급,휴지를,동사,01
버스,초급,를 타다,명사,02
번,초급,첫째 번,의존명사,04
번째,초급,세 번째,의존명사,
번호,초급,를 매기다,명사,02
벌,초급,옷 한 벌,의존명사,02
벌다,초급,돈을,동사,02
벌써,초급,벌써 가다,부사,
벗다,초급,모자를,동사,
베트남,초급,나라,명사,
벽,초급,에 걸다,명사,06
변하다,초급,모양이,동사,
변호사,초급,직업,명사,
별,초급,이 빛나다,명사,01
별로,초급,별로 없다,부사,01
병,초급,에 걸리다,명사,04
병,초급,을 깨다,명사,05
병문안,초급,을 가다,명사,
병원,초급,에 가다,명사,02
보내다,초급,편지를,동사,
보다,초급,신문을,동사,01
보다,초급,보다 높이,부사,02
보라색,초급,색깔,명사,
보이다,초급,산이,동사,01
보이다,초급,사진을,동사,02
보통,초급,이 넘다,명사/부사,
복습,초급,예습,명사,
복잡하다,초급,생각이,형용사,
볶다,초급,고기를,동사,
볶음밥,초급,음식,명사,
볼펜,초급,으로 쓰다,명사,02
봄,초급,계절,명사,01
봉투,초급,를 열다,명사,02
뵙다,초급,어른을,동사,
부끄럽다,초급,부끄럽게 웃다,형용사,
부드럽다,초급,머릿결이,형용사,
부럽다,초급,다른 사람이 ,형용사,
부르다,초급,친구를,동사,01
부르다,초급,배가,형용사,02
부모님,초급,께 효도하다,명사,
부부,초급,부부 싸움,명사,03
부분,초급,으로 나누다,명사,01
부산,초급,지명,명사,02
부엌,초급,에서 요리하다,명사,
부인,초급,아내,명사,01
부자,초급,가 되다,명사,07
부장,초급,으로 승진하다,명사,07
부족,초급,산소 부족,명사,01
부지런하다,초급,사람이,형용사,
부치다,초급,편지를,동사,02
부탁,초급,을 받다,명사,
북쪽,초급,방향,명사,
분,초급,아는 분,의존명사,01
분,초급,60분,의존명사,08
분명하다,초급,발음이,형용사,01
분식,초급,을 먹다,명사,04
분위기,초급,어색한,명사,
분홍색,초급,색깔,명사,
불,초급,을 피우다,명사,01
불고기,초급,음식,명사,
불다,초급,바람이,동사,01
불쌍하다,초급,표정이,형용사,
불안,초급,이 커지다,명사,01
불편,초급,이 따르다,명사,01
붉다,초급,색깔이,형용사,01
붙다,초급,먼지가,동사,
붙이다,초급,우표를,동사,
블라우스,초급,를 입다,명사,
비,초급,가 그치다,명사,01
비교,초급,비교 대상,명사,01
비누,초급,로 씻다,명사,
비다,초급,집이,동사,01
비디오,초급,비디오 두 편,명사,
비밀,초급,을 지키다,명사,
비빔밥,초급,음식,명사,
비슷하다,초급,성격이,형용사,02
비싸다,초급,값이,형용사,
비행기,초급,를 타다,명사,
빌딩,초급,을 짓다,명사,
빌리다,초급,돈을,동사,
빠르다,초급,걸음이,형용사,
빠지다,초급,강에,동사,02
빨간색,초급,색깔,명사,
빨갛다,초급,사과가,형용사,
빨다,초급,옷을,동사,02
빨래,초급,를 하다,명사,
빨리,초급,빨리 걷다,부사,
빵,초급,을 먹다,명사,01
빵집,초급,에서 일하다,명사,
빼다,초급,이를,동사,01
뽑다,초급,이를,동사,
사,초급,숫자,수사/관형사,11
사거리,초급,를 건너다,명사,01
사계절,초급,이 뚜렷하다,명사,
사고,초급,가 나다,명사,12
사과,초급,과일,명사,05
사귀다,초급,친구를,동사,
사다,초급,물건을,동사,
사람,초급,이 살다,명사,
사랑,초급,연인 간의,명사,01
사무실,초급,에 출근하다,명사,
사실,초급,을 밝히다,명사/부사,04
사십,초급,숫자,수사/관형사,
사업,초급,사업 수완,명사,04
사용,초급,을 하다,명사,04
사월,초급,달(월),명사,02
사이,초급,에 놓다,명사,01
사이다,초급,를 마시다,명사,02
사이즈,초급,가 크다,명사,01
사장,초급,이 되다,명사,15
사전,초급,을 찾다,명사,22
사진,초급,카메라,명사,06
사탕,초급,을 먹다,명사,02
사흘,초급,시간,명사,
산,초급,에 오르다,명사,01
산책,초급,을 나가다,명사,
살,초급,이 찌다,명사,01
살,초급,세 살,의존명사,04
살다,초급,오래 ,동사,01
삼,초급,삼 년,수사/관형사,06
삼거리,초급,가 나오다,명사,
삼겹살,초급,음식,명사,
삼계탕,초급,음식,명사,
삼십,초급,숫자,수사/관형사,
삼월,초급,달(월),명사,
삼촌,초급,친척,명사,
상,초급,을 받다,명사,25
상자,초급,에 넣다,명사,09
상처,초급,가 낫다,명사,02
상추,초급,식물,명사,01
상품,초급,을 팔다,명사,03
새,초급,동물,명사,03
새,초급,새 옷,관형사,06
새로,초급,새로 사다,부사,
새롭다,초급,기억이,형용사,
새벽,초급,에 일어나다,명사,01
